店名 住所 電話番号
池原クリーニング 新宿区高田馬場4-14-3 03-3371-2445
（株）ホリウチランドリー 文京区水道2-15-17 03-3814-4656
クリーニングショップブラン 小石川1-16-9 03-5840-9370
（有）夏目クリーニング 文京区水道2-6-5 03-3941-5544
（株）ミハシ 文京区千石1-14-3 03-3943-0384
長谷川クリーニング 文京区千石4-46-5 03-3941-2972
室田商会 文京区関口1-23-6-109 03-3269-3025
磯貝クリーニング 文京区目白台2-17-9 03-3943-3471
渡辺クリーニング店 文京区白山1-26-5 03-3812-2777
白山クリーニング商会 文京区白山1-36-2 03-3811-7736
神明クリーニング商会 文京区本駒込5-38-10 03-3821-6207
竹田クリーニング店 文京区千駄木2-8-9 03-3821-0317
グレート・ダイワーク 文京区千駄木3-37-12 03-3823-0278
（有）厚生舎 文京区向丘1-13-5 03-3811-6391
日生クリーニング商会 文京区根津2-6-12 03-3821-7381
加藤クリーニング店 文京区本郷4-4-9 03-3811-8632
若月クリーニング店 文京区本郷5-30-17 03-3811-6548
（有）中本商店 文京区湯島2-11-7 03-3811-4933
（有）長谷川ランドリー 文京区湯島2-21-1 03-3811-5015
（有）㊇クリーニング 文京区湯島2-26-10 03-3831-5400
（有）りふれ 文京区湯島4-4-21 03-3816-1646
（有）柳澤クリーニング商会 台東区谷中1-5-13 03-3821-4447
門田クリーニング 台東区谷中6-3-9 03-3821-3503
（株）太洋舎 台東区上野桜木2-9-3 03-3821-4744
（有）白銀クリーニング商会 台東区根岸3-15-6 03-3873-0134
飯塚クリーニング店 台東区下谷3-8-9 03-3874-9577
（有）白光舎 台東区上野5-23-9 03-3831-3345
（有）キングランドリー商会 台東区入谷2-6-9 03-3873-6159
（有）武田クリーニング店 台東区東上野6-9-1 03-3841-3098
（有）共洋舎クリーニング店 台東区台東3-24-7 03-3831-5119
栗原クリーニング店 台東区台東3-34-11 03-3831-3349
ドライクリーナース石井商会 台東区日本堤1-18-3 03-3872-0584
サンライズクリーニング 台東区今戸1-16-14 03-3873-8923
（株）埼玉屋クリーニング 台東区浅草5-48-5 03-3872-4374
（有）南洋舎 台東区浅草5-63-10 03-3872-2874
やまだやクリーニング 台東区花川戸2-7-7 03-3845-5049
クリーニング伊東 台東区元浅草3-16-14 03-3841-4452
（有）東洋ドライクリーニング 台東区元浅草4-2-14 03-3844-6039
（株）千村商会 台東区寿1-7-2 03-3843-88312
金井プレス 台東区駒形1-9-7 03-3844-0658
伊東クリーニング店 台東区柳橋2-11-5 03-3851-8040
鳥越ランドリー 台東区鳥越1-22-11 03-3851-3696
（有）モーリス・グループ 台東区小島1-4-18 03-3861-9636
（有）こいずみクリーニング 台東区小島2-1-12 03-3851-7938
（有）洗光舍 墨田区吾妻橋2-10-10 03-3623-6910
（株）協和商会 墨田区業平4-4-13 03-3624-3351
すみだクリーニング 墨田区横川1-11-8 03-3623-6015
山田屋ランドリー 墨田区本所4-19-15 03-3625-0486
トミタクリーニング 墨田区石原1-3-9 03-5608-2468
（株）りふれ 墨田区石原2-18-8 03-3622-3525
（有）金崎クリーニング店 墨田区太平3-13-5 03-3622-6681
ふたばクリーニング店 墨田区太平3-15-5 03-3622-1998
（有）みどり 墨田区緑2-17-2 03-3631-0426
石井綜合クリーニング 墨田区菊川3-23-1 03-3632-2277
（有）クリーニングキタハラ商会 墨田区菊川3-6-12 03-3631-2740
（有）水谷クリーニング商会 墨田区両国3-18-2 03-3631-8979
日の丸クリーニング 墨田区墨田3-1-10 03-3611-0524
高橋クリーニング 墨田区東向島4-15-5 03-3612-1330
泉喜屋クリーニング店 墨田区向島4-4-1 03-3829-0563
白洋舍クリーニング店 墨田区八広1-11-11 03-3611-5205
（株）ハクワクリーニング商会 墨田区八広1-16-22 03-3612-7749
ファッションクリーニングアヤベ　八広店 墨田区八広1-7-10 03-3614-1377
キムラクリーニング 墨田区八広3-24-16 03-3612-3225
日進商会 墨田区八広6-19-5 03-3611-8750
（有）相田ランドリー 墨田区立花2-26-4 03-3611-9453
（有）細谷クリーニング店 墨田区立花4-28-19 03-3612-5547
スター商会 墨田区文花1-8-8 03-3611-9211
クリーニングイシカワ 墨田区押上2-12-7 03-3625-3009
春日ランドリー 墨田区押上3-11-12 03-3612-8236
尾花クリーニング商会 墨田区京島1-9-12 03-3611-9436
（有）市川クリーニング 墨田区京島3-48-4 03-3612-1636
（有）安川ドライクリーニング店 江東区新大橋1-12-11 03-3631-3337
牡丹屋 江東区新大橋3-9-1 03-3631-4848
（株）東京報洗舎 江東区扇橋2-21-5 03-3647-8858
ホワイト 江東区千田12-13 03-3647-6898
東屋クリーニング 江東区東陽1-15-7 03-3644-5325
金丸クリーニング 江東区東陽3-21-6 03-3644-2475
古川ランドリー 江東区東陽5-22-2 03-3644-0956
（有）旭ランドリー 江東区白河2-4-1 03-3641-2430
田村クリーニング 江東区三好2-8-6 03-3641-9287
武田クリーニング 江東区平野1-3-2 03-3641-5657
磯野クリーニング店 江東区平野2-7-7 03-3643-3189
（有）柴間ランドリー 江東区清澄2-11-14 03-3641-9750
（有）モテギランドリー 江東区清澄2-13-10 03-3641-7648
泉屋クリーニング 江東区深川2-6-2 03-3641-3496
白永舎 江東区永代2-20-2 03-3641-3003
トーヨークリーニング 江東区門前仲町1-9-9 03-3641-0405
クリーニング東陽 江東区枝川2-10-11 03-3649-2497
洗洋舎クリーニング店 江東区亀戸2-34-9 03-3681-0866
太陽ランドリー 江東区亀戸3-18-3 03-3681-9019
渋沢クリーニング 江東区亀戸3-34-30 03-3684-0419
相田ランドリー 江東区亀戸4-38-1 03-3681-5555
（有）フジイクリーニング 江東区亀戸5-23-9 03-3681-3617
ファッションクリーニングあずま 江東区亀戸5-29-24 03-3684-8847
会員制クリーニング　ベレーナ 江東区亀戸6-9-4 03-3682-2720
（有）伊藤ランドリー 江東区亀戸7-57-8-103 03-3682-1379
サニークリーン近藤商会 江東区亀戸9-35-22 03-3683-9212
野口クリーニング店 江東区大島2-11-13 03-3681-9445
三ッ矢クリーニング 江東区大島5-44-7 03-3681-7423
坪山クリーニング 江東区北砂3-22-19 03-3644-4317
山崎クリーニング店 江東区北砂3-9-10 03-3646-7775
大洗舎クリーニング 江東区北砂4-9-14 03-3645-7643
（有）持田クリーニング店 品川区南品川4-17-9 03-3471-5470
竹田クリーニング商会 品川区大井2-8-15 03-3771-3869
（有）杉浦クリーニング商会 品川区大井3-17-7 03-3771-9527
（有）市川クリーニング商会 品川区大井5-21-13 03-3771-8788
島田兄弟商会 品川区西大井2-17-21 03-3771-8808
Cleaning MITSUWA 品川区西大井3-15-7 03-3771-4905
（資）杉原クリーニング商会 品川区西大井4-24-15 03-3777-7030
キャンディクリーナース（株） 品川区西大井6-4-12 03-3775-1351
大橋ランドリー 品川区上大崎3-13-5 03-3441-7717
彦坂クリーニング商会 品川区東五反田1-8-14 03-3441-0319
竹和クリーニング商会 品川区西五反田4-30-3 03-3491-4672
吉田クリーニング店 品川区西五反田4-8-5 03-3491-3002
三陽クリーニング 品川区西五反田6-17-35 03-3491-1759
山本クリーニング 品川区大崎4-10-18 03-3491-3056
（有）小島クリーニング商会 品川区大崎4-6-9 03-3492-5664
京浜ドライクリーニング（株） 品川区西品川1-17-18 03-3491-8852
（有）小林ランドリー工場 品川区西品川3-6-24 03-3491-3415
クリーニングショップ桜井 品川区戸越3-6-8 03-3783-1992
クリーニングサロン中島 品川区豊町4-6-6 03-3781-7477
（有）小林ドライクリーナー 品川区平塚1-13-16 03-3782-8480
（有）倉持クリーンセンター 品川区東中延1-1-9 03-3782-2846
明石屋クリーニング 品川区東中延2-3-1 03-3782-8593
（株）白富士 品川区中延2-16-5 03-3786-1234
（有）日之出クリーニング商会 品川区中延2-8-14 03-3781-9681
ドライクリーニングなかい 品川区西中延1-2-17 03-3787-9060
（有）玉川クリーニング 品川区西中延3-14-3 03-3782-6372
（有）田中クリーニング商会 品川区小山2-2-3 03-3784-1779
スピードクリーナーミュー（（有）倉持ランドリー） 品川区小山2-7-21 03-3782-5305
太洋ランドリー 品川区小山4-1-18 03-3712-5652
（有）小山ランドリー 品川区小山6-21-4 03-3781-6213
（有）陽白舎 品川区荏原5-10-15 03-3782-8464
三共クリーニング（株） 品川区旗の台2-4-22 03-3785-0728
山田クリーニング 品川区旗の台2-7-8 03-3782-4575
東京クリーニング 品川区旗の台4-6-14 03-3785-2104
（有）Ｓ．Ｓ．商会 目黒区目黒本町4-8-13 03-3713-2934
たんのクリーニング 目黒区目黒本町6-10-12 03-3712-0238
大倉クリーニング店 目黒区目黒本町6-3-4 03-3712-4496
（有）静岡屋クリーニング 目黒区碑文谷6-8-19 03-3713-1244
（有）ツルヤランドリー 目黒区鷹番2-15-5 03-3712-9213
池原サンシャインK.K． 目黒区鷹番2-20-6 03-3712-2059
旭クリーニング 目黒区鷹番3-9-4 03-3712-8669
（有）伊川ランドリー 目黒区原町1-15-2 03-3712-6909
千代田クリーニング（有） 目黒区原町1-4-6 03-3712-6924
瀬川ランドリー 目黒区大岡山1-16-2 03-3717-4033
オリオン商会 目黒区大岡山1-17-20 03-3717-4036
（有）ドライクリーニングサトー 目黒区緑が丘2-23-10 03-3717-0561
（有）轟総本店 目黒区東山3-15-12 03-3713-5650
（有）成太屋クリーナース 目黒区上目黒2-38-10 03-3712-8130
（有）一越クリーニング 目黒区上目黒2-49-16 03-3713-7201
（有）白十字クリーニング 目黒区祐天寺2-20-7 03-3712-7815
目黒三共クリーニング（有） 目黒区五本木1-20-5 03-3712-4508
（有）ヨシノランドリー 目黒区五本木3-4-3 03-3713-7549
（有）加藤クリーニング店 目黒区中目黒3-6-3 03-3712-6072
倉林クリーニング店 目黒区中目黒4-4-4 03-3719-8802
白清舎 目黒区目黒4-23-22グランフォート目黒ウエスト101 03-3711-3414
中場クリーニング商会 目黒区目黒4-26-9 03-3713-6717
クリーニングハウスフジヤ 目黒区目黒4-9-13 03-3712-3858
（有）金子クリーニング商会 目黒区下目黒2-16-3 03-3494-0040
（有）林クリーニング商会 目黒区下目黒3-16-8 03-3711-0268
（有）徳竹商会 目黒区下目黒4-10-2 03-3712-9224
（有）小林クリーニング商会 目黒区中町1-8-11 03-3710-0208
須山ランドリー 大田区大森東2-29-13 03-3761-5519
吉川クリーニング 大田区大森東3-11-7 03-3765-4507
クリーニングモンブラン 大田区大森東5-9-13 03-3763-9468
（有）山田クリーニング 大田区大森南1-13-14 03-3741-1995
（有）ランドリーホワイト 大田区大森西1-17-16 03-3768-4558
国際クリーニング（株） 大田区大森西1-18-21 03-3763-63213
ファッションクリーニング田中 大田区大森西1-5-3 03-3761-8488
（有）安達屋クリーニング店 大田区大森西4-5-14 03-3761-7128
（株）スワン 大田区大森北1-19-2 03-3762-2525
やまクリーニング 大田区大森北3-29-20 03-3761-7160
（有）田中クリーニング 大田区大森北4-15-20 03-3761-9493
須山クリーニング 大田区大森北6-2-7 03-3763-1655
小林クリーニング商会 大田区東馬込1-19-14 03-3775-0975
（有）山王クリーニング 大田区山王2-36-1 03-3772-2573
早川クリーニング 大田区山王4-16-8 03-3771-7709
ミカドクリーニング 大田区中央1-4-4 03-3777-7340
中西クリーニング商会 大田区中央1-8-8 03-3771-4251
新太田クリーニング 大田区中央4-24-9 03-3771-1098
（資）小林クリーニング商会 大田区中央6-21-19 03-3751-4326
渡辺クリーニング 大田区中央6-28-10 03-3753-3038
（株）白幸舎 大田区中央8-26-8 03-3751-1255
（有）光洋ランドリー 大田区南馬込2-28-16 03-3771-3997
にしわきクリーニング（有） 大田区西馬込2-7-3 03-3776-8732
（有）若狭商事 大田区中馬込2-17-6 03-3771-6332
マスダヤクリーニング 大田区東蒲田2-3-5 03-3731-4224
越路クリーニング 大田区西糀谷1-11-3 03-3742-5051
みすゞ商会 大田区西糀谷2-15-16 03-3742-7959
富士商会 大田区羽田2-3-1 03-3742-7722
クリーニング三幸 大田区西蒲田2-10-14 03-3755-2742
リヴィエール 大田区西蒲田5-10-9 03-3738-0674
ドライクリーニング能登屋 大田区西蒲田6-17-10 03-3739-2590
（有）糀谷クリーニング 大田区蒲田3-12-22 03-3735-6788
ミツワクリーニング 大田区新蒲田2-19-17 03-3731-9813
鈴王クリーニング 大田区仲六郷1-27-17 03-3732-8008
つきいクリーニング 大田区仲六郷1-34-13 03-3732-8909
（資）ハトヤランドリー 大田区仲六郷1-43-8 03-3731-7718
（有）喜作クリーニング 大田区仲六郷2-12-13 03-3731-5822
菊池クリーニング店 大田区仲六郷2-33-2 03-3731-7006
オリッククリーニング 大田区西六郷2-5-8 03-3738-4601
（有）ナガノクリーニング 大田区北千束1-27-1 03-3717-1811
大成舎クリーニング 大田区北千束2-23-5 03-3729-4005
きぬたやクリーニング 大田区北千束3-29-5 03-3720-5931
（有）白井クリーニング 大田区上池台1-44-13 03-3729-6394
（有）加藤商会 大田区上池台3-16-3 03-3729-1225
（有）リザーブ 大田区上池台5-37-5 03-3729-6941
サンシャイン田園調布センター 大田区田園調布1-46-11 03-3721-6640
（株）サクラランドリー 大田区田園調布52-7-404 03-3721-3485
クリーニングコマツ 大田区仲池上2-15-23 03-3752-1382
小林商会 大田区池上8-17-8 03-3751-9657
ワールドクリーニング 大田区千鳥1-3-5 03-3751-6987
東京三ッ輪商会 大田区千鳥1-8-5 03-3752-5049
白洗舎 大田区久が原1-28-14 03-3753-6899
斉藤商会 大田区久が原2-24-3 03-3752-1309
（株）宮﨑ランドリー 大田区久が原3-31-14 03-3754-4657
玉川ランドリー 大田区鵜の木2-12-11 03-3750-1670
ビッククリーニング中村 大田区鵜の木2-16-8 03-3758-0562
大島クリーニング 大田区鵜の木2-32-4 03-3757-0087
（有）三長クリーニング 大田区鵜の木3-14-3 03-3750-8927
（株）白洋舍東京支店 大田区下丸子2-11-1 03-3758-1331
（株）カミヤクリーニング 世田谷区下馬2-4-5 03-3422-4937
日清クリーニング 世田谷区下馬4-2-8 03-3424-3464
（有）カラキヤ 世田谷区太子堂2-20-30 03-3421-2348
山崎ドライクリーナー 世田谷区太子堂3-14-3 03-3411-0840
中川クリーニング店 世田谷区太子堂3-14-7 03-3422-6851
福原クリーニング 世田谷区太子堂3-5-17 03-3421-6466
ダイエイクリーニングサービス（株） 世田谷区太子堂5-2-5 03-3414-3257
（有）共栄ランドリー 世田谷区三宿1-20-11 03-3414-4196
広井クリーニング 世田谷区上馬1-33-10 03-3414-7352
クリーニング城南 世田谷区上馬1-8-11 03-3411-3197
（有）駒沢ドライ 世田谷区駒沢3-27-7 03-3421-3360
坂詰クリーニング店 世田谷区桜新町1-4-6 03-3701-7980
協栄ドライクリーニング（株） 世田谷区桜新町2-14-1 03-3420-7331
世田谷大成舎 世田谷区弦巻1-14-2 03-3429-5291
ホワイトランドリー 世田谷区世田谷1-12-13 03-3706-6560
東邦ランドリー 世田谷区世田谷2-26-8 03-3429-2821
斉藤クリーニング店 世田谷区世田谷2-28-20 03-3429-3661
タカマツ商会 世田谷区豪徳寺2-6-13 03-3426-4900
安藤クリーニング 世田谷区梅丘1-42-7 03-3429-0833
玉川クリーニング店 世田谷区梅丘3-10-13 03-3420-1724
大丸クリーニング 世田谷区若林3-37-2 03-3413-1729
（有）高野クリーニング店 世田谷区若林5-41-10 03-3422-0751
（株）カラキヤ 世田谷区北沢1-17-19 03-3466-8071
野村ランドリー 世田谷区北沢5-16-7 03-3469-6057
鈴木クリーニング店 世田谷区北沢5-25-2 03-3466-8359
クリーニングもろはし 世田谷区北沢5-34-4 03-3466-8275
天竜舎 世田谷区代沢4-31-11 03-3414-6797
（有）小松屋クリーニング 世田谷区代田2-30-19 03-3414-5090
ドライクリーニング服部商会 世田谷区代田3-30-10 03-3412-6620
松原洗染商会 世田谷区松原1-42-22 03-3321-2981
新洗舎クリーニング 世田谷区松原4-21-25 03-3321-7321
大洋舎 世田谷区松原5-26-1 03-3328-4323
（株）サカエヤクリーニング 世田谷区松原6-35-4 03-3321-6958
（有）東北クリーニング 世田谷区宮坂3-44-3 03-3429-7937
（有）RACCOON 世田谷区宮坂3-52-1 03-3429-9552
アスナロクリーニング 世田谷区経堂1-21-19 03-3429-6279
（有）エビス商会 世田谷区経堂1-25-19 03-3425-0963
大成舎クリーニング 世田谷区経堂2-20-2 03-3428-0861
ドライクリーナー伏見 世田谷区桜1-50-13 03-3429-1383
クリーニングタニイ 世田谷区桜丘3-24-10 03-3428-0371
（有）松原洗染商会 世田谷区船橋1-5-8 03-3420-1558
世田谷区立知的障害者就労支援センターすきっぷ 世田谷区船橋5-33-1 03-3302-7911
三鈴クリーニング 世田谷区上北沢4-10-12 03-3302-2548
ファインクリーニング 世田谷区北烏山1-33-5 03-3300-1612
（有）クリーニング鳥山商会 世田谷区南烏山4-21-7 03-3300-2462
（有）アート商会 世田谷区成城5-14-4 03-3483-1406
日立ドライ 世田谷区喜多見2-8-7 03-3416-1239
白光舍クリーニング 世田谷区喜多見6-7-5 03-3416-7396
小澤商会 世田谷区祖師谷3-34-12 03-3483-0541
白眞舎 世田谷区祖師谷3-6-11 03-3483-0531
大蔵クリーニング店 世田谷区砧5-25-4 03-3416-0225
砧クリーニング 世田谷区砧6-26-21 03-3416-4804
洋信舍クリーニング 世田谷区鎌田2-26-7 03-3709-2371
千代田ランドリー 世田谷区深沢3-14-6 03-3701-8338
（有）芳誠舎 世田谷区深沢3-8-12 03-3701-8890
もりたクリーニング店 世田谷区深沢5-1-14 03-3701-3349
（資）清水クリーニング商会 世田谷区等々力2-17-18 03-3703-3611
（株）スワンクリナー 世田谷区等々力2-35-17 03-3704-3852
（有）只木屋 世田谷区等々力7-19-18 03-3702-2595
（有）奥沢クリーニング 世田谷区奥沢7-10-5 03-3701-4136
（有）スミレクリーニング 世田谷区中町3-18-5 03-3702-5966
雨宮クリーニング店 世田谷区瀬田5-1-14 03-3700-1236
モトキクリーニング（株） 世田谷区玉川台2-18-4 03-3709-0605
三洋クリーニング 世田谷区用賀2-40-2 03-3700-3761
（有）池原ドライクリーニング 世田谷区用賀4-19-13 03-3700-1897
白真舎 世田谷区用賀4-31-5 03-3709-4531
金井商会 渋谷区神宮前3-5-16 03-3408-3259
大和クリーニング（株） 渋谷区神宮前4-26-27 03-3401-6122
クリーニングかしわや 渋谷区東2-14-23 03-3407-0164
（有）橋爪本店 渋谷区東3-5-2 03-3400-0709
