店名 住所 電話番号
（有）東晃ランドリー 京都市西京区嵐山上海道町74-14
足立クリーニング 舞鶴市七日市217
ハヤシダクリーニング店 舞鶴市高野由里236-1
小谷クリーニング店 舞鶴市円満寺八幡通160
クリーニングほりしま 舞鶴市折原125-4
（有）大橋ハイクリーナー 舞鶴市竹屋2番地
（有）三光堂 舞鶴市浜394
中島クリーニング店 舞鶴市溝尻中町14-2
（有）クリーニング木村 舞鶴市余部上20-2
太田クリーニング 舞鶴市余部上465-2
（株）有馬リネンサプライ綾部支店 綾部市高津町下大橋3
（有）朝日屋クリーニング店 宇治市木幡金草原19-6
寿屋クリーニング 宇治市木幡陣の内9
京栄クリーニング 宇治市五ケ庄福角60-8
白清舎 宇治市五ケ庄芝東56
株式会社　三央舎 宇治市五ケ庄西浦14番地
成美屋クリーニング店 宇治市莵道車田5-6
（有）山城屋 宇治市宇治妙楽31
京屋クリーニング店 宇治市広野町茶屋裏9
（株）グットメン 宇治市槙島町一町田1-2
（有）大石クリーニング京都 宇治市槙島町大川原37-7
（株）ハッピークリーニング 宇治市槙島町目川70-1
あけぼのドライ 宇治市伊勢田町中山61
両丹ドライ（株） 宮津市鶴賀2060-27
（株）白水ドライ 宮津市波路71-3
ワークスおーい 亀岡市大井町小金岐北浦16
中沢クリーニング店 亀岡市千代川町小林北ン田1
太陽ドライ 亀岡市篠町篠野田10-36
竹本クリーニング 亀岡市南つつじケ丘大葉台1-24-5
ドライショップ鷲見 亀岡市紺屋町6-7
白栄社 城陽市久世荒内179-1
（株）白水舎 城陽市長池北清水49-1
山本クリーニング 城陽市市辺五島7-48
クリーニング栄光舎 城陽市寺田乾出北2
クリーニングシミズ 向日市寺戸町初田24
寿屋クリーニング 向日市鶏冠井町番田3-29
クリーニングつき山 向日市向日町南山10
クリーンウォッシュ 向日市上植野町上川原1-33
鉄道リネンサービス（株）向日町工場 長岡京市井ノ内坂川27-1
京都ヤングスーパードライ 長岡京市長岡2-2-52
（有）東京舎 長岡京市下海印寺横山20
坂野クリーニング店 京田辺市田辺沓脱49-8
峰山クリーニング 京丹後市峰山町泉10-2
堀井クリーニング店 京丹後市峰山町御旅21
相見クリーニング 京丹後市峰山町千歳31-3
（有）ビューティークリーニング 京丹後市丹後町間人2147
昭和堂クリーニング店 南丹市日吉町殿田小字前田28-7
コーベベービー（株） 久世郡久御山町大字市田小字新珠城163-1
クリーニング大橋 久世郡久御山町市田東大門4-7
ワタキューセイモア（株） 綴喜郡井手町多賀茶臼塚12-2
（株）日光社 綴喜郡宇治田原町大字立川小字奥田47-1
エムエーシープロケア（株） 船井郡京丹波町豊田下川原1-2
（株）白鳥リネン 与謝郡与謝野町岩滝2256-2
